position,x_static_index,feature_name,feature_group,source
1,11,caisr_sleep_tst_sec,sleep_architecture,CAISR_algorithmic_annotation
2,12,caisr_sleep_se,sleep_architecture,CAISR_algorithmic_annotation
3,13,caisr_sleep_sol_sec,sleep_architecture,CAISR_algorithmic_annotation
4,14,caisr_sleep_rem_latency_sec,sleep_architecture,CAISR_algorithmic_annotation
5,16,caisr_sleep_waso_sec,sleep_architecture,CAISR_algorithmic_annotation
6,17,caisr_sleep_n1_pct,sleep_architecture,CAISR_algorithmic_annotation
7,18,caisr_sleep_n2_pct,sleep_architecture,CAISR_algorithmic_annotation
8,19,caisr_sleep_n3_pct,sleep_architecture,CAISR_algorithmic_annotation
9,20,caisr_sleep_rem_pct,sleep_architecture,CAISR_algorithmic_annotation
10,32,caisr_sleep_transition_rate,fragmentation_uncertainty,CAISR_algorithmic_annotation
11,34,caisr_sleep_short_bout_ratio,fragmentation_uncertainty,CAISR_algorithmic_annotation
12,87,caisr_sleep_mean_stage_entropy,fragmentation_uncertainty,CAISR_algorithmic_annotation
13,96,caisr_arousal_arousal_index,arousal,CAISR_algorithmic_annotation
14,97,caisr_arousal_arousal_burden_ratio,arousal,CAISR_algorithmic_annotation
15,98,caisr_arousal_mean_arousal_duration,arousal,CAISR_algorithmic_annotation
16,126,caisr_respiratory_respiratory_event_index,respiratory,CAISR_algorithmic_annotation
17,127,caisr_respiratory_respiratory_burden_ratio,respiratory,CAISR_algorithmic_annotation
18,141,caisr_respiratory_mean_resp_duration,respiratory,CAISR_algorithmic_annotation
19,168,caisr_limb_limb_movement_index,limb,CAISR_algorithmic_annotation
20,173,caisr_limb_plmi,limb,CAISR_algorithmic_annotation
