feature,group,median_coefficient,mean_coefficient,std_coefficient,median_abs_coefficient,sign_consistency,positive_fraction,negative_fraction,zero_fraction,n_coefficients
caisr_sleep_mean_stage_entropy,fragmentation_uncertainty,0.5558560802639542,0.49574133950537547,0.10252533137271365,0.5558560802639542,1.0,1.0,0.0,0.0,15
caisr_limb_limb_movement_index,limb,0.3482819496503222,0.34600602885731124,0.0034884254245880265,0.3482819496503222,1.0,1.0,0.0,0.0,15
caisr_sleep_n1_pct,sleep_architecture,-0.2927539376252343,-0.27672347309980433,0.14430947634211078,0.2927539376252343,1.0,0.0,1.0,0.0,15
caisr_sleep_waso_sec,sleep_architecture,0.24959653301991555,0.21224962771954947,0.1166970693774328,0.24959653301991555,1.0,1.0,0.0,0.0,15
caisr_respiratory_mean_resp_duration,respiratory,0.23222511935688456,0.2132718009290618,0.06456159551845823,0.23222511935688456,1.0,1.0,0.0,0.0,15
caisr_arousal_arousal_burden_ratio,arousal,-0.07300792967690954,-0.07061431645626265,0.01694009110728089,0.07300792967690954,1.0,0.0,1.0,0.0,15
caisr_sleep_se,sleep_architecture,-0.23279912900627492,-0.16978514488962,0.12562023964021687,0.23279912900627492,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,15
caisr_arousal_arousal_index,arousal,-0.207901676853342,-0.21539278883963095,0.1852886247629468,0.207901676853342,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,15
caisr_respiratory_respiratory_burden_ratio,respiratory,-0.12505224397214218,-0.09467228451987654,0.07075165160038249,0.12505224397214218,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,15
caisr_sleep_rem_pct,sleep_architecture,-0.11414255192984714,-0.08510762709343221,0.06333147025166656,0.11414255192984714,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,15
caisr_sleep_n3_pct,sleep_architecture,-0.015009821490931994,-0.01784626809015279,0.0931630446556791,0.09094416667970859,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,15
caisr_limb_plmi,limb,0.08463518531175013,0.0958380365306876,0.08612667991932901,0.08463518531175013,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,15
caisr_respiratory_respiratory_event_index,respiratory,-0.06573466347364461,-0.052815551420151326,0.04030299413819026,0.06573466347364461,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,15
caisr_sleep_short_bout_ratio,fragmentation_uncertainty,0.0451655690088763,0.037590438815704126,0.02910155373430629,0.0451655690088763,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,15
caisr_sleep_sol_sec,sleep_architecture,0.0334462900132254,0.08838514770276545,0.1059049640420483,0.0334462900132254,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,15
caisr_arousal_mean_arousal_duration,arousal,0.01377236754314074,0.025145072073467875,0.0273535685557068,0.01377236754314074,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,15
caisr_sleep_rem_latency_sec,sleep_architecture,0.0,0.013343238266429032,0.023097454475123746,0.004755778283202804,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,15
caisr_sleep_n2_pct,sleep_architecture,0.0,0.07322747421792054,0.10719404652547813,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,15
caisr_sleep_transition_rate,fragmentation_uncertainty,0.0,-0.02188021543383078,0.032029356139935204,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,15
caisr_sleep_tst_sec,sleep_architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15
