seed,holdout_site,AC,AUROC,AUPRC,n_iter,converged,warnings
7,I0002,0.7460233297985154,0.7641169691731489,0.5129300450771846,24,True,
7,I0006,0.6777064789898571,0.7314927184466019,0.20293299537665033,30,True,
7,S0001,0.6166620961991992,0.6991220472686261,0.1316740860980098,31,True,
17,I0002,0.7460233297985154,0.7641889945260731,0.5133436100068786,23,True,
17,I0006,0.6775684813358173,0.7315013869625521,0.20337720127325973,42,True,
17,S0001,0.6166895190040037,0.6991270320960575,0.13167867965650204,27,True,
27,I0002,0.7460233297985154,0.7641889945260731,0.5133436100068786,26,True,
27,I0006,0.6776374801628372,0.7314927184466019,0.20338194714885735,36,True,
27,S0001,0.6166950035649646,0.6991307707166312,0.13167796628463352,25,True,
37,I0002,0.7460233297985154,0.7641169691731489,0.5129300450771846,22,True,
37,I0006,0.6776374801628372,0.7315187239944522,0.20339667113931748,31,True,
37,S0001,0.6166730653211211,0.6991251627857707,0.13167540850487644,30,True,
47,I0002,0.7460233297985154,0.7641169691731489,0.5129300450771846,28,True,
47,I0006,0.6775684813358173,0.731510055478502,0.20338441569749097,43,True,
47,S0001,0.6166675807601601,0.6991239165789129,0.13167734702973177,35,True,
