caisr_position,compact30_position,x_static_index,feature_name
0,10,11,caisr_sleep_tst_sec
1,11,12,caisr_sleep_se
2,12,13,caisr_sleep_sol_sec
3,13,14,caisr_sleep_rem_latency_sec
4,14,16,caisr_sleep_waso_sec
5,15,17,caisr_sleep_n1_pct
6,16,18,caisr_sleep_n2_pct
7,17,19,caisr_sleep_n3_pct
8,18,20,caisr_sleep_rem_pct
9,19,32,caisr_sleep_transition_rate
10,20,34,caisr_sleep_short_bout_ratio
11,21,87,caisr_sleep_mean_stage_entropy
12,22,96,caisr_arousal_arousal_index
13,23,97,caisr_arousal_arousal_burden_ratio
14,24,98,caisr_arousal_mean_arousal_duration
15,25,126,caisr_respiratory_respiratory_event_index
16,26,127,caisr_respiratory_respiratory_burden_ratio
17,27,141,caisr_respiratory_mean_resp_duration
18,28,168,caisr_limb_limb_movement_index
19,29,173,caisr_limb_plmi
