fold,fit_role,branch,index,name,family,candidate,transform,status,center,scale,unit_conversion,sample_n,finite,abs_gt_5_fraction,abs_gt_10_fraction,abs_gt_20_fraction,abs_gt_50_fraction
small_I0002,train_only,X_seq,0,eeg_F3-M2_logP2P1,eeg_spectral,A_old_clip,"clip[-50,50]",previewed,0.0,1.0,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,0,eeg_F3-M2_logP2P1,eeg_spectral,B_mean_std,B_mean_std,previewed,1.1153088673640692,0.5371608570622938,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,0,eeg_F3-M2_logP2P1,eeg_spectral,C_median_iqr,C_median_iqr,previewed,1.1688367910683155,0.7493975352442412,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,0,eeg_F3-M2_logP2P1,eeg_spectral,D_selective_log1p_robust,same_as_C_not_log_eligible,previewed,1.1688367910683155,0.7493975352442412,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,1,eeg_F3-M2_logPsigmaPbeta,eeg_spectral,A_old_clip,"clip[-50,50]",previewed,0.0,1.0,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,1,eeg_F3-M2_logPsigmaPbeta,eeg_spectral,B_mean_std,B_mean_std,previewed,0.38457435489363284,0.3587166371103591,none_unapproved,46718,True,2.3430682934568374e-05,0.0,0.0,0.0
small_I0002,train_only,X_seq,1,eeg_F3-M2_logPsigmaPbeta,eeg_spectral,C_median_iqr,C_median_iqr,previewed,0.3904291668580535,0.5232642789894038,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,1,eeg_F3-M2_logPsigmaPbeta,eeg_spectral,D_selective_log1p_robust,same_as_C_not_log_eligible,previewed,0.3904291668580535,0.5232642789894038,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,2,eeg_F3-M2_logPalphaPbeta,eeg_spectral,A_old_clip,"clip[-50,50]",previewed,0.0,1.0,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,2,eeg_F3-M2_logPalphaPbeta,eeg_spectral,B_mean_std,B_mean_std,previewed,0.6289844687513835,0.4430747968388335,none_unapproved,46718,True,8.850267114552632e-05,0.0,0.0,0.0
small_I0002,train_only,X_seq,2,eeg_F3-M2_logPalphaPbeta,eeg_spectral,C_median_iqr,C_median_iqr,previewed,0.6595722039846273,0.6211932025156242,none_unapproved,46718,True,4.555039174767057e-05,0.0,0.0,0.0
small_I0002,train_only,X_seq,2,eeg_F3-M2_logPalphaPbeta,eeg_spectral,D_selective_log1p_robust,same_as_C_not_log_eligible,previewed,0.6595722039846273,0.6211932025156242,none_unapproved,46718,True,4.555039174767057e-05,0.0,0.0,0.0
small_I0002,train_only,X_seq,3,eeg_F3-M2_logPthetaPbeta,eeg_spectral,A_old_clip,"clip[-50,50]",previewed,0.0,1.0,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,3,eeg_F3-M2_logPthetaPbeta,eeg_spectral,B_mean_std,B_mean_std,previewed,0.7368243295764464,0.5286582719576186,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,3,eeg_F3-M2_logPthetaPbeta,eeg_spectral,C_median_iqr,C_median_iqr,previewed,0.7802190017117672,0.7876219680743946,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,3,eeg_F3-M2_logPthetaPbeta,eeg_spectral,D_selective_log1p_robust,same_as_C_not_log_eligible,previewed,0.7802190017117672,0.7876219680743946,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,4,eeg_F3-M2_logPdeltaPbeta,eeg_spectral,A_old_clip,"clip[-50,50]",previewed,0.0,1.0,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,4,eeg_F3-M2_logPdeltaPbeta,eeg_spectral,B_mean_std,B_mean_std,previewed,1.2654063781740945,0.6729542856258992,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,4,eeg_F3-M2_logPdeltaPbeta,eeg_spectral,C_median_iqr,C_median_iqr,previewed,1.2853404877418215,0.9731644381308793,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,4,eeg_F3-M2_logPdeltaPbeta,eeg_spectral,D_selective_log1p_robust,same_as_C_not_log_eligible,previewed,1.2853404877418215,0.9731644381308793,none_unapproved,46718,True,0.0,0.0,0.0,0.0
small_I0002,train_only,X_seq,5,eeg_F3-M2_SEF50,eeg_spectral,A_old_clip,"clip[-50,50]",previewed,0.0,1.0,none_unapproved,46718,True,0.9717717476781933,0.6906917691038009,0.12667175419969368,0.0
