scope,site,fold,role,branch,index,name,family,records,total_observations,finite_observations,nan_count,posinf_count,neginf_count,recognizable_missing_count,unknown_missing_marker,zero_fraction_finite,negative_fraction_finite,equal_neg50_fraction_finite,equal_pos50_fraction_finite,below_neg50_fraction_finite,above_pos50_fraction_finite,flattened_by_old_clip_fraction_finite,min,max,mean,std,iqr_approx,old_clip_std_approx,old_clip_iqr_approx,sample_n,quantile_method,p0_1,p1,p5,p25,p50,p75,p95,p99,p99_9,subject_equal_p0_1,subject_equal_p1,subject_equal_p5,subject_equal_p25,subject_equal_p50,subject_equal_p75,subject_equal_p95,subject_equal_p99,subject_equal_p99_9,record_clip_fraction_p50,record_clip_fraction_p95,record_clip_fraction_max,top_values_sample
global,,small_I0002,all,X_ecg,0,model_HRV_MedianNN,ecg_hrv,1103,978740,978740,0,0,0,,zeros_ambiguous,0.009369188957230726,0.0,0.0,0.0,0.0,0.9906308110427693,0.9906308110427693,0.0,10315.0,952.0500388254286,288.30600427322776,215.0,4.798698323733288,0.0,70100,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,475.0,690.0,830.0,930.0,1045.0,1235.0,1606.1336353340876,4852.004743935368,0.0,470.0,690.0,830.0,930.0,1045.0,1235.0,1647.5,4818.139999997366,1.0,1.0,1.0,
global,,small_I0002,all,x_static,10,caisr_sleep_trt_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.011786038077969175,0.0,0.0,0.0,0.0,0.9882139619220308,0.9882139619220308,0.0,40890.0,26534.33363553944,4622.76593615482,3982.5,5.396092803231759,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,22230.0,25050.0,27060.0,29032.5,31260.0,32678.7,39659.880000000005,0.0,0.0,22230.0,25050.0,27060.0,29032.5,31260.0,32678.7,39659.880000000005,1.0,1.0,1.0,
global,,small_I0002,all,x_static,15,caisr_sleep_wake_time_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.011786038077969175,0.0,0.0,0.0,0.0,0.9873073436083409,0.9873073436083409,0.0,25140.0,6824.061650045331,4018.094906316053,5220.0,5.427593131773213,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,1929.0000000000002,3840.0,6060.0,9060.0,14660.999999999995,19069.200000000004,25031.46,0.0,0.0,1929.0000000000002,3840.0,6060.0,9060.0,14660.999999999995,19069.200000000004,25031.46,1.0,1.0,1.0,
global,,small_I0002,all,x_static,22,caisr_sleep_dur_w_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.011786038077969175,0.0,0.0,0.0,0.0,0.9873073436083409,0.9873073436083409,0.0,25140.0,6824.061650045331,4018.094906316053,5220.0,5.427593131773213,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,1929.0000000000002,3840.0,6060.0,9060.0,14660.999999999995,19069.200000000004,25031.46,0.0,0.0,1929.0000000000002,3840.0,6060.0,9060.0,14660.999999999995,19069.200000000004,25031.46,1.0,1.0,1.0,
global,,small_I0002,all,x_static,39,caisr_sleep_mean_bout_wake_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.011786038077969175,0.0,0.0,0.0,0.0,0.9873073436083409,0.9873073436083409,0.0,24960.0,346.43786514572736,1232.9910532340562,190.417724609375,5.427593131773213,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,93.46078491210938,153.99697875976562,229.5238037109375,344.4147033691406,647.6470336914062,1200.4714562988286,24417.3,0.0,0.0,93.46078491210938,153.99697875976562,229.5238037109375,344.4147033691406,647.6470336914062,1200.4714562988286,24417.3,1.0,1.0,1.0,
global,,small_I0002,all,x_static,49,caisr_sleep_max_bout_wake_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.011786038077969175,0.0,0.0,0.0,0.0,0.9873073436083409,0.9873073436083409,0.0,24960.0,2287.914777878513,2000.1595140352642,1770.0,5.427593131773213,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,510.0,1110.0,1770.0,2880.0,5761.499999999993,8068.200000000001,24417.3,0.0,0.0,510.0,1110.0,1770.0,2880.0,5761.499999999993,8068.200000000001,24417.3,1.0,1.0,1.0,
global,,small_I0002,all,x_static,64,caisr_sleep_p90_bout_wake_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.011786038077969175,0.0,0.0,0.0,0.0,0.9873073436083409,0.9873073436083409,0.0,24960.0,756.2937443336356,1369.4586256304135,537.7499999999998,5.427593131773213,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,150.0,312.75,510.0,850.4999999999998,1895.2499999999986,3720.2400000000016,24417.3,0.0,0.0,150.0,312.75,510.0,850.4999999999998,1895.2499999999986,3720.2400000000016,24417.3,1.0,1.0,1.0,
global,,small_I0002,all,x_static,69,caisr_sleep_p95_bout_wake_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.011786038077969175,0.0,0.0,0.0,0.0,0.9873073436083409,0.9873073436083409,0.0,24960.0,1231.7529465095195,1506.479075169574,930.75,5.427593131773213,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,265.425,552.375,912.0,1483.125,3042.149999999999,5456.64,24417.3,0.0,0.0,265.425,552.375,912.0,1483.125,3042.149999999999,5456.64,24417.3,1.0,1.0,1.0,
global,,small_I0002,all,x_static,11,caisr_sleep_tst_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.014505893019038985,0.0,0.0,0.0,0.0,0.985494106980961,0.985494106980961,0.0,30120.0,19710.271985494106,5119.412728955985,5872.5,5.978183550465127,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,10656.0,17227.5,20670.0,23100.0,26160.0,27610.5,29902.920000000002,0.0,0.0,10656.0,17227.5,20670.0,23100.0,26160.0,27610.5,29902.920000000002,1.0,1.0,1.0,
global,,small_I0002,all,x_static,24,caisr_sleep_dur_n2_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.014505893019038985,0.0,0.0,0.0,0.0,0.985494106980961,0.985494106980961,0.0,27000.0,12132.212148685403,3592.893055720327,4102.5,5.978183550465127,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,5899.5,10357.5,12390.0,14460.0,17260.499999999996,19401.000000000004,24340.770000000004,0.0,0.0,5899.5,10357.5,12390.0,14460.0,17260.499999999996,19401.000000000004,24340.770000000004,1.0,1.0,1.0,
global,,small_I0002,all,x_static,51,caisr_sleep_max_bout_n2_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.014505893019038985,0.0,0.0,0.0,0.0,0.985494106980961,0.985494106980961,0.0,26970.0,2125.6210335448777,1189.4829817653372,1080.0,5.978183550465127,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,960.0,1500.0,1980.0,2580.0,3790.4999999999973,5158.200000000001,15410.49000000002,0.0,0.0,960.0,1500.0,1980.0,2580.0,3790.4999999999973,5158.200000000001,15410.49000000002,1.0,1.0,1.0,
global,,small_I0002,all,x_static,61,caisr_sleep_p75_bout_n2_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.014505893019038985,0.0,0.0,0.0,0.0,0.985494106980961,0.985494106980961,0.0,20235.0,630.3875793291024,664.987774555369,330.0,5.978183550465127,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,229.87500000000003,420.0,570.0,750.0,1175.2499999999986,1664.1000000000001,9806.11500000002,0.0,0.0,229.87500000000003,420.0,570.0,750.0,1175.2499999999986,1664.1000000000001,9806.11500000002,1.0,1.0,1.0,
global,,small_I0002,all,x_static,66,caisr_sleep_p90_bout_n2_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.014505893019038985,0.0,0.0,0.0,0.0,0.985494106980961,0.985494106980961,0.0,24276.0,1154.2765185856754,849.2547768665611,527.25,5.978183550465127,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,480.0,834.75,1074.0,1362.0,2072.0999999999995,2736.51,11960.328000000023,0.0,0.0,480.0,834.75,1074.0,1362.0,2072.0999999999995,2736.51,11960.328000000023,1.0,1.0,1.0,
global,,small_I0002,all,x_static,71,caisr_sleep_p95_bout_n2_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.014505893019038985,0.0,0.0,0.0,0.0,0.985494106980961,0.985494106980961,0.0,25623.0,1499.402991840435,961.4589650373565,725.625,5.978183550465127,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,645.75,1080.0,1392.0,1805.625,2602.199999999999,3701.2200000000007,13222.305000000022,0.0,0.0,645.75,1080.0,1392.0,1805.625,2602.199999999999,3701.2200000000007,13222.305000000022,1.0,1.0,1.0,
global,,small_I0002,all,x_static,82,caisr_sleep_longest_cont_sleep_bout_sec,caisr_sleep,1103,1103,1103,0,0,0,,zeros_ambiguous,0.014505893019038985,0.0,0.0,0.0,0.0,0.985494106980961,0.985494106980961,0.0,27210.0,4716.446056210336,2319.615880239415,2400.0,5.978183550465127,0.0,1103,deterministic_uniform_per_record_cap_64_weighted_by_record_length,0.0,0.0,2100.0,3300.0,4290.0,5700.0,9001.499999999993,12351.000000000002,20498.61000000001,0.0,0.0,2100.0,3300.0,4290.0,5700.0,9001.499999999993,12351.000000000002,20498.61000000001,1.0,1.0,1.0,
