feature,variant,n,min,p1,p50,p99,max
age,raw,1103,50.0,50.0,61.0,83.0,88.0
age,legacy_clip,1103,50.0,50.0,50.0,50.0,50.0
age,typed_v1,1103,-0.9166666865348816,-0.9166666865348816,0.0,1.8333333730697632,2.25
BMI,raw,1103,0.0,0.0,0.0,49.163198242187505,63.08000183105469
BMI,legacy_clip,1103,0.0,0.0,0.0,49.163198242187505,50.0
BMI,typed_v1,1103,-1.508802890777588,-0.9534742355346679,0.0,2.085469598770142,3.718897581100464
MedianNN,raw,971103,0.0,470.0,930.0,1580.0,10315.0
MedianNN,legacy_clip,971103,0.0,50.0,50.0,50.0,50.0
MedianNN,typed_v1,971103,-2.9390244483947754,-1.597561001777649,0.0,3.158536672592163,45.76829147338867
pNN20,raw,971103,0.0,0.0,35.08771896362305,94.44444274902344,99.84127044677734
pNN20,legacy_clip,971103,0.0,0.0,35.08771896362305,50.0,50.0
pNN20,typed_v1,971103,0.0,0.0,0.35087719559669495,0.9444444179534912,0.9984127283096313
TRT,raw,1103,0.0,0.0,27060.0,32578.800000000003,40890.0
TRT,legacy_clip,1103,0.0,0.0,50.0,50.0,50.0
TRT,typed_v1,1103,-6.856046199798584,-3.9356620931625366,-0.015355085954070091,1.366295557022095,3.4932820796966553
TST,raw,1103,0.0,0.0,20670.0,27538.800000000003,30120.0
TST,legacy_clip,1103,0.0,0.0,50.0,50.0,50.0
TST,typed_v1,1103,-3.7923498153686523,-3.228852424621582,-0.016393441706895828,1.2238251471519472,1.6939890384674072
WASO,raw,1103,0.0,0.0,4770.0,16287.600000000002,22770.0
WASO,legacy_clip,1103,0.0,0.0,50.0,50.0,50.0
WASO,typed_v1,1103,-1.2213740348815918,-1.068549666404724,0.0,2.9230534076690677,4.572519302368164
BSR,raw,983796,0.0,0.0,0.0,0.0,100.0
BSR,legacy_clip,983796,0.0,0.0,0.0,0.0,50.0
BSR,typed_v1,983796,0.0,0.0,0.0,0.0,1.0
EMG_envelope_ratio,raw,983796,0.0,0.0,0.3977639675140381,2.4116805672645616,1633173930770432.0
EMG_envelope_ratio,legacy_clip,983796,0.0,0.0,0.3977639675140381,2.4116805672645616,50.0
EMG_envelope_ratio,typed_v1,983796,-1.5788038969039917,-1.5788038969039917,-0.0052712457254529,4.187688398361212,163.019775390625
N3_N1_ratio,raw,1103,0.0,0.0,1.2400000095367432,9.900000267028835,51.5
N3_N1_ratio,legacy_clip,1103,0.0,0.0,1.2400000095367432,9.900000267028835,50.0
N3_N1_ratio,typed_v1,1103,-0.9833757877349854,-0.9833757877349854,0.0,1.9043564128875763,3.8051483631134033
