site,label,n,age_median,age_q25,age_q75,age_iqr,age_min,age_max
I0002,0,267,63.0,57.0,70.0,13.0,50.0,88.0
I0002,1,52,72.0,63.0,75.25,12.25,54.0,84.0
I0002,all,319,64.0,57.0,71.0,14.0,50.0,88.0
I0006,0,1030,61.0,55.0,67.0,12.0,50.0,90.0
I0006,1,112,70.0,65.0,76.0,11.0,50.0,90.0
I0006,all,1142,62.0,56.0,68.75,12.75,50.0,90.0
S0001,0,4805,60.0,54.0,67.0,13.0,50.0,90.0
S0001,1,334,71.0,64.0,77.0,13.0,50.0,90.0
S0001,all,5139,61.0,55.0,67.0,12.0,50.0,90.0
Total,0,6102,60.0,55.0,67.0,12.0,50.0,90.0
Total,1,498,71.0,64.0,77.0,13.0,50.0,90.0
Total,all,6600,61.0,55.0,68.0,13.0,50.0,90.0
