feature_family,dimension,fold,site_balanced_accuracy,macro_f1,macro_ovr_auroc,train_n,holdout_n,train_patients,holdout_patients,converged,n_iter
demo10,10,0,0.6140471761439916,0.5668654796860274,0.7792456110003022,5280,1320,5280,1320,True,11
demo10,10,1,0.5727193409106424,0.5439610220195652,0.7704469654892759,5280,1320,5280,1320,True,11
demo10,10,2,0.6217967787556423,0.5820719915625049,0.820750653308464,5280,1320,5280,1320,True,12
demo10,10,3,0.6309837702232234,0.5734471727561766,0.8005532808430971,5280,1320,5280,1320,True,11
demo10,10,4,0.5642833408806476,0.5361696414905074,0.7401565469992653,5280,1320,5280,1320,True,12
compact30,30,0,0.7027797688124332,0.5993642252807027,0.8714204658750081,5280,1320,5280,1320,True,70
compact30,30,1,0.7031242889161945,0.5949982762412549,0.8741831267019613,5280,1320,5280,1320,True,81
compact30,30,2,0.7095686661511683,0.6000178845018868,0.8781237516373969,5280,1320,5280,1320,True,74
compact30,30,3,0.7115954302910324,0.5982232608487265,0.8833298798493932,5280,1320,5280,1320,True,51
compact30,30,4,0.7303986638419161,0.6012566216119913,0.8808001657109997,5280,1320,5280,1320,True,77
static196,196,0,0.7470806454365485,0.6587696439482368,0.9099848040182423,5280,1320,5280,1320,True,220
static196,196,1,0.7893926206567001,0.6773912193302971,0.924963029871995,5280,1320,5280,1320,True,219
static196,196,2,0.757481693470513,0.6664050115793577,0.8946211980632253,5280,1320,5280,1320,True,199
static196,196,3,0.7889147723394089,0.6694187567526538,0.9237637760121972,5280,1320,5280,1320,True,232
static196,196,4,0.8212551059529529,0.6926059263361949,0.9363878124273887,5280,1320,5280,1320,True,234
eeg_spectral54,108,0,0.6698093015450429,0.5600656052429311,0.8553751649808267,5280,1320,5280,1320,True,223
eeg_spectral54,108,1,0.6872116555168727,0.5657043055157503,0.8444271379671194,5280,1320,5280,1320,True,230
eeg_spectral54,108,2,0.6405632920763841,0.5484650848794442,0.8400381639867534,5280,1320,5280,1320,True,218
eeg_spectral54,108,3,0.6963515712107767,0.559391135981143,0.8680193543917802,5280,1320,5280,1320,True,241
eeg_spectral54,108,4,0.6439273485966247,0.5420040741319189,0.8259415889129312,5280,1320,5280,1320,True,239
coherence360,720,0,0.6357924744578697,0.5975193211127853,0.830178519556578,5280,1320,5280,1320,True,678
coherence360,720,1,0.6811820203881949,0.6230360477010773,0.8419751170341844,5280,1320,5280,1320,True,700
coherence360,720,2,0.6361183324931986,0.596478682204099,0.8117272939626664,5280,1320,5280,1320,True,649
coherence360,720,3,0.6639065948756456,0.617503009629838,0.8393469737068878,5280,1320,5280,1320,True,697
coherence360,720,4,0.6096139982836061,0.579834713092554,0.8020455734947474,5280,1320,5280,1320,True,697
bsr18,36,0,0.370415287164084,0.37212286257199495,0.5409870948631429,5280,1320,5280,1320,True,119
bsr18,36,1,0.39253674881106787,0.4028610497965057,0.5463660155315839,5280,1320,5280,1320,True,118
bsr18,36,2,0.4022826534805533,0.41614503386815027,0.5601322003838077,5280,1320,5280,1320,True,140
bsr18,36,3,0.38082306528318205,0.3843261361946426,0.5332667484865306,5280,1320,5280,1320,True,123
bsr18,36,4,0.3733716580988706,0.3760311556568472,0.5401969263276215,5280,1320,5280,1320,True,139
emg24,48,0,0.7383723576125788,0.5777867321615883,0.8821681944723166,5280,1320,5280,1320,True,91
emg24,48,1,0.7027331928231734,0.561067002424826,0.8728553702427312,5280,1320,5280,1320,True,74
emg24,48,2,0.7025797932378736,0.5737325987251731,0.8648220962631982,5280,1320,5280,1320,True,69
emg24,48,3,0.733325795844995,0.5811922474248198,0.8838410978435141,5280,1320,5280,1320,True,98
emg24,48,4,0.7335398569057571,0.5819531135433681,0.8815218984982902,5280,1320,5280,1320,True,90
respiration14,28,0,0.6916456185860241,0.5117751796500198,0.844213470655041,5280,1320,5280,1320,True,49
respiration14,28,1,0.679369823309896,0.521860181663998,0.8454357805126765,5280,1320,5280,1320,True,52
respiration14,28,2,0.6991275320799729,0.5331616899501352,0.853160639503329,5280,1320,5280,1320,True,51
respiration14,28,3,0.7031043785696407,0.5425584299428348,0.8527323255546563,5280,1320,5280,1320,True,51
respiration14,28,4,0.7044330682560673,0.5442492537595762,0.8544838083235579,5280,1320,5280,1320,True,52
stage_event13,13,0,0.6418132210389788,0.5068618756708007,0.8064822428397229,5280,1320,5280,1320,True,14
stage_event13,13,1,0.6609701743008624,0.5294695813755408,0.8269171958184969,5280,1320,5280,1320,True,14
stage_event13,13,2,0.6535920543490251,0.5232968220932542,0.8205813015395688,5280,1320,5280,1320,True,23
stage_event13,13,3,0.6141453057091496,0.5052761015325671,0.7974947874946009,5280,1320,5280,1320,True,17
stage_event13,13,4,0.6286780533669526,0.510750352683434,0.793077151772585,5280,1320,5280,1320,True,14
ecg12,24,0,0.4262126112135072,0.341269673354962,0.6108893008018557,5280,1320,5280,1320,True,68
ecg12,24,1,0.42099218945548045,0.34248801703906456,0.6063851915871373,5280,1320,5280,1320,True,89
ecg12,24,2,0.44869370974242434,0.3412137895138036,0.6332479222036994,5280,1320,5280,1320,True,64
ecg12,24,3,0.40342166416365166,0.33785293937546906,0.5961752343158732,5280,1320,5280,1320,True,88
ecg12,24,4,0.4307142824240415,0.3293698076105813,0.6026173179736879,5280,1320,5280,1320,True,73
global59,59,0,0.7470138035588323,0.6272737662785488,0.890804708653695,5280,1320,5280,1320,True,142
global59,59,1,0.7340176803877397,0.6157179480616182,0.9004107021206847,5280,1320,5280,1320,True,130
