feature_family,dimension,site_balanced_accuracy_mean,std,min,max,macro_f1,macro_ovr_auroc,all_folds_converged,convergence_warnings
static196,196,0.7808249675712247,0.029398271344654954,0.7470806454365485,0.8212551059529529,0.672918111589348,0.9179441240786097,True,
global59,59,0.7271842993041353,0.013866368241279264,0.7128479692764075,0.7470138035588323,0.6135815388943797,0.89076655469927,True,
emg24,48,0.7221101992848755,0.017873091595907845,0.7025797932378736,0.7383723576125788,0.575146338855955,0.8770417314640101,True,
compact30,30,0.711493363602549,0.01125936721469035,0.7027797688124332,0.7303986638419161,0.5987720536969124,0.8775714779549517,True,
respiration14,28,0.6955360841603202,0.010317674358769601,0.679369823309896,0.7044330682560673,0.5307209469933128,0.8500052049098521,True,
eeg_spectral54,108,0.6675726337891402,0.025037597467523397,0.6405632920763841,0.6963515712107767,0.5551260411502374,0.8467602820478822,True,
coherence360,720,0.645322684099703,0.027757471813034056,0.6096139982836061,0.6811820203881949,0.6028743547480706,0.8250546955510127,True,
stage_event13,13,0.6398397617529936,0.018869971072629412,0.6141453057091496,0.6609701743008624,0.5151309466711194,0.8089105358929949,True,
demo10,10,0.6007660813828295,0.030205117259168333,0.5642833408806476,0.6309837702232234,0.5605030615029564,0.7822306115280809,True,
ecg12,24,0.426006891399821,0.016371723353902884,0.40342166416365166,0.44869370974242434,0.3384388453787761,0.6098629933764507,True,
bsr18,36,0.3838858825675516,0.013366613007862549,0.370415287164084,0.4022826534805533,0.3902972476176282,0.5441897971185373,True,
