feature_family,dimension,fold,site_balanced_accuracy,macro_f1,macro_ovr_auroc,train_n,holdout_n,train_patients,holdout_patients,converged,n_iter
demo10,10,0,0.6295760543006566,0.5609667122663019,0.7885068942563517,882,221,882,221,True,15
demo10,10,1,0.67843073106231,0.6103391232423491,0.8028160383625971,882,221,882,221,True,14
demo10,10,2,0.5762006025163919,0.5481524740518108,0.7570724856268259,883,220,883,220,True,15
demo10,10,3,0.6319916517590937,0.5678200129954516,0.764810768598029,882,221,882,221,True,15
demo10,10,4,0.5019493177387914,0.5160146232334807,0.7594592662090953,883,220,883,220,True,15
compact30,30,0,0.5612180557100998,0.5297182278667353,0.7923453205336429,882,221,882,221,True,58
compact30,30,1,0.6737823579928843,0.6035282468209298,0.8819282172318609,882,221,882,221,True,57
compact30,30,2,0.5831118199539252,0.53673277626766,0.7847182816424101,883,220,883,220,True,58
compact30,30,3,0.6669151262174519,0.5735182254441495,0.8677407812232428,882,221,882,221,True,51
compact30,30,4,0.6866914761651604,0.5811236516138315,0.8319088698446183,883,220,883,220,True,53
static196,196,0,0.5773153814769482,0.5584599797365755,0.7811683918889122,882,221,882,221,True,78
static196,196,1,0.7127687127687127,0.6819969416984343,0.8918395534589866,882,221,882,221,True,108
static196,196,2,0.6034910508594719,0.5889606067951259,0.8100189031494569,883,220,883,220,True,94
static196,196,3,0.7669946332737031,0.7035940773321453,0.8575401002035759,882,221,882,221,True,96
static196,196,4,0.640528087896509,0.61797440804533,0.8326788714690286,883,220,883,220,True,105
eeg_spectral54,108,0,0.6429286747524201,0.5977927006230059,0.8539177314003247,882,221,882,221,True,139
eeg_spectral54,108,1,0.550184708079445,0.5154865015247015,0.7805364196457315,882,221,882,221,True,136
eeg_spectral54,108,2,0.6767676767676768,0.6043065139636548,0.8499398313137205,883,220,883,220,True,140
eeg_spectral54,108,3,0.514102564102564,0.5068156090076436,0.810051775134989,882,221,882,221,True,137
eeg_spectral54,108,4,0.6270600744284954,0.5484425135587926,0.8224282299812034,883,220,883,220,True,137
coherence360,720,0,0.5978357627684433,0.5938814977716579,0.802111884537449,882,221,882,221,True,191
coherence360,720,1,0.5989176515492306,0.5897433750809279,0.816219638810732,882,221,882,221,True,246
coherence360,720,2,0.5615807194754563,0.559143675561586,0.7998618207948351,883,220,883,220,True,238
coherence360,720,3,0.5714470284237726,0.5854201029639626,0.7631099918680023,882,221,882,221,True,236
coherence360,720,4,0.6551479709374446,0.612310606060606,0.7563657767007049,883,220,883,220,True,295
bsr18,36,0,0.41728793442379736,0.44125698862540963,0.5784470132888835,882,221,882,221,True,38
bsr18,36,1,0.3814664867296446,0.38174073499232586,0.5323372533898849,882,221,882,221,True,45
bsr18,36,2,0.35185185185185186,0.3356917341854007,0.5054147644714972,883,220,883,220,True,38
bsr18,36,3,0.37025442258000396,0.36361328691615896,0.5150807423313216,882,221,882,221,True,41
bsr18,36,4,0.361598440545809,0.3661616161616162,0.5179002252652287,883,220,883,220,True,44
emg24,48,0,0.6031489929898742,0.5467783094098884,0.8477574524365635,882,221,882,221,True,70
emg24,48,1,0.5742035742035742,0.5082810867293626,0.8336254598602778,882,221,882,221,True,74
emg24,48,2,0.7306397306397306,0.6217726809723021,0.8789048221720813,883,220,883,220,True,70
emg24,48,3,0.671138938580799,0.5767793707521323,0.8682032205196576,882,221,882,221,True,66
emg24,48,4,0.6905901116427432,0.5968950822816897,0.8419746945037444,883,220,883,220,True,73
respiration14,28,0,0.7208096880679499,0.5460181445224419,0.8797756112674174,882,221,882,221,True,62
respiration14,28,1,0.6242996769312559,0.5306668640001974,0.8095560729568826,882,221,882,221,True,67
respiration14,28,2,0.6828814460393408,0.5486992424640039,0.8728328138786102,883,220,883,220,True,62
respiration14,28,3,0.6432120850725501,0.5373404255319149,0.8165719752338303,882,221,882,221,True,52
respiration14,28,4,0.7356016303384725,0.5715109028610174,0.8528702759734886,883,220,883,220,True,52
stage_event13,13,0,0.5534753903786952,0.4998038491882541,0.7564501437332581,882,221,882,221,True,19
stage_event13,13,1,0.7051759157022315,0.5587748344370861,0.8210929211738929,882,221,882,221,True,16
stage_event13,13,2,0.6311359206096049,0.5098217029850236,0.8139425699234312,883,220,883,220,True,15
stage_event13,13,3,0.7156330749354005,0.552700058157058,0.8148215237482935,882,221,882,221,True,19
stage_event13,13,4,0.5541378699273435,0.4434493025413981,0.7561169906521923,883,220,883,220,True,14
ecg12,24,0,0.35722896035013535,0.2973040348825614,0.5415108799936195,882,221,882,221,True,65
ecg12,24,1,0.43881459670933354,0.3535815672793465,0.5956850107457395,882,221,882,221,True,81
ecg12,24,2,0.3902179691653376,0.328426475485299,0.6197822329059512,883,220,883,220,True,82
ecg12,24,3,0.4386901212482608,0.3549354915475134,0.6613967749503326,882,221,882,221,True,80
ecg12,24,4,0.3588516746411483,0.3373990531885269,0.5338979518747119,883,220,883,220,True,84
global59,59,0,0.6128389154704944,0.5651177675371224,0.8082723357800109,882,221,882,221,True,87
global59,59,1,0.7138319769898717,0.6366776680341696,0.8690266908080674,882,221,882,221,True,97
global59,59,2,0.593833067517278,0.5508931380942973,0.8145933709843485,883,220,883,220,True,87
global59,59,3,0.8328463526137945,0.6566903189642207,0.930865289028139,882,221,882,221,True,85
global59,59,4,0.6778309409888358,0.5935174069627851,0.8415636918712791,883,220,883,220,True,92
