feature_family,dimension,site_balanced_accuracy_mean,std,min,max,macro_f1,macro_ovr_auroc,all_folds_converged,convergence_warnings
global59,59,0.6862362507160549,0.09520006880915502,0.593833067517278,0.8328463526137945,0.600579259918519,0.852864275694369,True,
respiration14,28,0.6813609052899138,0.04798929835496745,0.6242996769312559,0.7356016303384725,0.5468471158759152,0.8463213498620459,True,
static196,196,0.660219573255069,0.07848775440921484,0.5773153814769482,0.7669946332737031,0.6301972027215221,0.834649164033992,True,
emg24,48,0.6539442696113442,0.06414730460565458,0.5742035742035742,0.7306397306397306,0.5701013060290749,0.8540931298984649,True,
compact30,30,0.6343437672079044,0.0577249092797082,0.5612180557100998,0.6866914761651604,0.5649242256026612,0.831728294095155,True,
stage_event13,13,0.6319116343106551,0.07838772076728223,0.5534753903786952,0.7156330749354005,0.5129099494617639,0.7924848298462136,True,
demo10,10,0.6036296714754487,0.067387059927355,0.5019493177387914,0.67843073106231,0.5606585891578788,0.7745330906105797,True,
eeg_spectral54,108,0.6022087396261203,0.06764601815625505,0.514102564102564,0.6767676767676768,0.5545687677355596,0.8233747974951939,True,
coherence360,720,0.5969858266308694,0.03637664496569581,0.5615807194754563,0.6551479709374446,0.5880998514877481,0.7875338225423446,True,
ecg12,24,0.3967606644228431,0.040525506057372845,0.35722896035013535,0.43881459670933354,0.3343293244766494,0.590454570094071,True,
bsr18,36,0.3764918272262213,0.025282979302455568,0.35185185185185186,0.41728793442379736,0.37769287217618225,0.5298359997493632,True,
