holdout_site,seed,n,positives,negatives,eligible_ac_pairs,ac_auroc,age_weighted_auroc,auroc,auprc,diagnostic_threshold,diagnostic_accuracy,diagnostic_f1,pair_count,converged,n_iter,warnings
I0002,7,319,52,267,1886,0.7465535524920467,0.7480159362895802,0.7587150677038318,0.4518027944784931,decision_score>=0 (uncalibrated p>=0.5),0.5266457680250783,0.37344398340248963,13768,True,60,
I0002,17,319,52,267,1886,0.7386002120890774,0.7399140617290534,0.7558340535868626,0.44628780780432464,decision_score>=0 (uncalibrated p>=0.5),0.5235109717868338,0.371900826446281,13768,True,65,
I0002,27,319,52,267,1886,0.7439024390243902,0.7432942003584521,0.7525929127052723,0.4304205299283137,decision_score>=0 (uncalibrated p>=0.5),0.5172413793103449,0.36885245901639346,13768,True,73,
I0002,37,319,52,267,1886,0.7470837751855779,0.7492302277807277,0.7580668395275136,0.4534298064821179,decision_score>=0 (uncalibrated p>=0.5),0.5235109717868338,0.371900826446281,13768,True,65,
I0002,47,319,52,267,1886,0.749204665959703,0.7513575775752157,0.752520887352348,0.43876711113201394,decision_score>=0 (uncalibrated p>=0.5),0.5172413793103449,0.36885245901639346,13768,True,72,
I0006,7,1142,112,1030,14493,0.6844683640378113,0.6809842810746501,0.8126907073509015,0.336472259411976,decision_score>=0 (uncalibrated p>=0.5),0.4851138353765324,0.2613065326633166,11992,True,76,
I0006,17,1142,112,1030,14493,0.7008900848685572,0.6954664225877271,0.8180478502080444,0.3479411163173694,decision_score>=0 (uncalibrated p>=0.5),0.478984238178634,0.2590286425902864,11992,True,76,
I0006,27,1142,112,1030,14493,0.677913475470917,0.6748673573861556,0.8090239251040223,0.3305143600097376,decision_score>=0 (uncalibrated p>=0.5),0.48248686514886163,0.2584692597239649,11992,True,76,
I0006,37,1142,112,1030,14493,0.6746015317739599,0.6726114696873701,0.8102375173370319,0.3322615468708684,decision_score>=0 (uncalibrated p>=0.5),0.5061295971978984,0.2675324675324675,11992,True,66,
I0006,47,1142,112,1030,14493,0.673221555233561,0.6725508357691242,0.8107576282940361,0.3341552757653761,decision_score>=0 (uncalibrated p>=0.5),0.500875656742557,0.26735218508997427,11992,True,67,
S0001,7,5139,334,4805,182330,0.6127241814292765,0.6309913565515325,0.7631079152828578,0.17421337187556887,decision_score>=0 (uncalibrated p>=0.5),0.7470324965946682,0.2450638792102207,4656,True,54,
S0001,17,5139,334,4805,182330,0.6137114024022376,0.631356713904885,0.7577841195860101,0.16913084536858902,decision_score>=0 (uncalibrated p>=0.5),0.7581241486670558,0.24894259818731118,4656,True,56,
S0001,27,5139,334,4805,182330,0.6122360555037569,0.6309267779241587,0.7560618617084249,0.1659744680022081,decision_score>=0 (uncalibrated p>=0.5),0.7581241486670558,0.24984912492456246,4656,True,55,
S0001,37,5139,334,4805,182330,0.6152032029836012,0.6339487533293244,0.7665611544860331,0.17867721485368218,decision_score>=0 (uncalibrated p>=0.5),0.7466433158201985,0.24739884393063583,4656,True,59,
S0001,47,5139,334,4805,182330,0.616568858662864,0.6313306767097493,0.7681824696081302,0.18166498807056,decision_score>=0 (uncalibrated p>=0.5),0.7482000389180774,0.2528868360277136,4656,True,56,
