outer_holdout,training_site,seed,original_pairs,positives_zero_eligible,positives_le_32,positives_gt_32,symmetric_examples,per_example_weight,total_site_weight
I0002,I0006,7,3216,0,19,93,6432,2.140547263681592,13767.999999999998
I0002,S0001,7,10552,0,10,324,21104,0.6523881728582259,13768.0
I0002,I0006,17,3216,0,19,93,6432,2.140547263681592,13767.999999999998
I0002,S0001,17,10552,0,10,324,21104,0.6523881728582259,13768.0
I0002,I0006,27,3216,0,19,93,6432,2.140547263681592,13767.999999999998
I0002,S0001,27,10552,0,10,324,21104,0.6523881728582259,13768.0
I0002,I0006,37,3216,0,19,93,6432,2.140547263681592,13767.999999999998
I0002,S0001,37,10552,0,10,324,21104,0.6523881728582259,13768.0
I0002,I0006,47,3216,0,19,93,6432,2.140547263681592,13767.999999999998
I0002,S0001,47,10552,0,10,324,21104,0.6523881728582259,13768.0
I0006,I0002,7,1440,0,19,33,2880,4.163888888888889,11992.0
I0006,S0001,7,10552,0,10,324,21104,0.5682335102350266,11992.0
I0006,I0002,17,1440,0,19,33,2880,4.163888888888889,11992.0
I0006,S0001,17,10552,0,10,324,21104,0.5682335102350266,11992.0
I0006,I0002,27,1440,0,19,33,2880,4.163888888888889,11992.0
I0006,S0001,27,10552,0,10,324,21104,0.5682335102350266,11992.0
I0006,I0002,37,1440,0,19,33,2880,4.163888888888889,11992.0
I0006,S0001,37,10552,0,10,324,21104,0.5682335102350266,11992.0
I0006,I0002,47,1440,0,19,33,2880,4.163888888888889,11992.0
I0006,S0001,47,10552,0,10,324,21104,0.5682335102350266,11992.0
S0001,I0002,7,1440,0,19,33,2880,1.6166666666666667,4656.0
S0001,I0006,7,3216,0,19,93,6432,0.7238805970149254,4656.0
S0001,I0002,17,1440,0,19,33,2880,1.6166666666666667,4656.0
S0001,I0006,17,3216,0,19,93,6432,0.7238805970149254,4656.0
S0001,I0002,27,1440,0,19,33,2880,1.6166666666666667,4656.0
S0001,I0006,27,3216,0,19,93,6432,0.7238805970149254,4656.0
S0001,I0002,37,1440,0,19,33,2880,1.6166666666666667,4656.0
S0001,I0006,37,3216,0,19,93,6432,0.7238805970149254,4656.0
S0001,I0002,47,1440,0,19,33,2880,1.6166666666666667,4656.0
S0001,I0006,47,3216,0,19,93,6432,0.7238805970149254,4656.0
