outer_holdout,seed,holdout_site,n_iter,converged,warnings,pair_count,zero_eligible_positives
I0002,7,I0002,60,True,,13768,0
I0002,17,I0002,65,True,,13768,0
I0002,27,I0002,73,True,,13768,0
I0002,37,I0002,65,True,,13768,0
I0002,47,I0002,72,True,,13768,0
I0006,7,I0006,76,True,,11992,0
I0006,17,I0006,76,True,,11992,0
I0006,27,I0006,76,True,,11992,0
I0006,37,I0006,66,True,,11992,0
I0006,47,I0006,67,True,,11992,0
S0001,7,S0001,54,True,,4656,0
S0001,17,S0001,56,True,,4656,0
S0001,27,S0001,55,True,,4656,0
S0001,37,S0001,59,True,,4656,0
S0001,47,S0001,56,True,,4656,0
