holdout_site,seed_a,seed_b,coefficient_cosine,feature_sign_agreement,pair_overlap
I0002,7,17,0.9959488848219259,0.9666666666666667,0.09243830833928429
I0002,7,27,0.9922651412520621,0.9666666666666667,0.09395733185014501
I0002,7,37,0.9941428183146283,1.0,0.09317559252054468
I0002,7,47,0.9942781495338808,0.9666666666666667,0.0913558717450755
I0002,17,27,0.9945193645569949,0.9333333333333333,0.09265505337089798
I0002,17,37,0.9946926126434653,0.9666666666666667,0.09413120356021774
I0002,17,47,0.9905326184130486,0.9333333333333333,0.09609107555130961
I0002,27,37,0.9975601943623428,0.9666666666666667,0.09513203945275214
I0002,27,47,0.9948325913617851,1.0,0.09339263024142312
I0002,37,47,0.993539911685249,0.9666666666666667,0.09609107555130961
I0006,7,17,0.9946408705225843,1.0,0.11543112268626174
I0006,7,27,0.9966122647746838,1.0,0.11361842410735014
I0006,7,37,0.9971810742538034,0.9333333333333333,0.11605397859469521
I0006,7,47,0.9956472368725376,0.9666666666666667,0.11823946288698246
I0006,17,27,0.9937796493501384,1.0,0.11558677147774316
I0006,17,37,0.9901641656359474,0.9333333333333333,0.11850020985869515
I0006,17,47,0.9905653114757634,0.9666666666666667,0.11511995536544542
I0006,27,37,0.9947726626660773,0.9333333333333333,0.11325659116227256
I0006,27,47,0.99572411761974,0.9666666666666667,0.11537924940705949
I0006,37,47,0.9974583800723981,0.9666666666666667,0.11537924940705949
S0001,7,17,0.9931480792094218,1.0,0.3074978938500421
S0001,7,27,0.9934089147111635,1.0,0.3032890132960112
S0001,7,37,0.996377901681608,0.9666666666666667,0.3063973063973064
S0001,7,47,0.9941260072279579,1.0,0.31191885038038886
S0001,17,27,0.9910531154286764,1.0,0.30474989491382937
S0001,17,37,0.9941527456229647,0.9666666666666667,0.3040190449516874
S0001,17,47,0.991975889183835,1.0,0.31284364866770054
S0001,27,37,0.9928435951930085,0.9666666666666667,0.3086003372681282
S0001,27,47,0.9948972427936676,1.0,0.3056646102075154
S0001,37,47,0.9970029467118462,0.9666666666666667,0.31358442657638597
