site,field_name,n_records,n_present,coverage
I0002,CreationTime,319,319,1.0
I0002,Age,319,319,1.0
I0002,BMI,319,91,0.2852664576802508
I0002,Time_to_Event,319,52,0.16300940438871472
I0002,Last_Known_Visit_Date,319,319,1.0
I0002,Time_to_Last_Visit,319,319,1.0
I0002,Cognitive_Impairment,319,319,1.0
I0002,EDF_start_datetime,319,319,1.0
I0002,ICDDate_min,319,52,0.16300940438871472
I0006,CreationTime,1142,1142,1.0
I0006,Age,1142,1142,1.0
I0006,BMI,1142,946,0.8283712784588442
I0006,Time_to_Event,1142,112,0.09807355516637478
I0006,Last_Known_Visit_Date,1142,1142,1.0
I0006,Time_to_Last_Visit,1142,1142,1.0
I0006,Cognitive_Impairment,1142,1142,1.0
I0006,EDF_start_datetime,1142,1142,1.0
I0006,ICDDate_min,1142,112,0.09807355516637478
S0001,CreationTime,5139,5139,1.0
S0001,Age,5139,5139,1.0
S0001,BMI,5139,501,0.09748978400467016
S0001,Time_to_Event,5139,334,0.06499318933644678
S0001,Last_Known_Visit_Date,5139,5139,1.0
S0001,Time_to_Last_Visit,5139,5139,1.0
S0001,Cognitive_Impairment,5139,5139,1.0
S0001,EDF_start_datetime,5139,5139,1.0
S0001,ICDDate_min,5139,334,0.06499318933644678
