Age	Prevalence (prevalence data)	# positive labels (prevalence data)	# negative labels (prevalence data)	# positive labels	# negative labels	# positive predictions	# negative predictions	# true positives	# false positives	# false negatives	# true negatives
50.0	0.01875	0	57	0	33	4	29	0	4	0	29
51.0	0.014705882352941176	2	46	1	33	5	29	1	4	0	29
52.0	0.01568627450980392	1	54	0	39	6	33	0	6	0	33
53.0	0.024193548387096774	0	44	0	34	5	29	0	5	0	29
54.0	0.01606425702811245	1	50	1	32	5	28	1	4	0	28
55.0	0.01639344262295082	2	48	0	34	8	26	0	8	0	26
56.0	0.02	0	49	0	39	7	32	0	7	0	32
57.0	0.02510460251046025	1	49	0	30	8	22	0	8	0	22
58.0	0.022123893805309734	1	49	1	35	4	32	1	3	0	32
59.0	0.03587443946188341	2	38	2	21	3	20	1	2	1	19
60.0	0.04285714285714286	1	36	1	27	6	22	1	5	0	22
61.0	0.058823529411764705	3	43	3	27	5	25	1	4	2	23
62.0	0.06403940886699508	2	35	2	22	5	19	1	4	1	18
63.0	0.06403940886699508	4	40	2	26	8	20	1	7	1	19
64.0	0.06598984771573604	3	36	2	25	4	23	2	2	0	23
65.0	0.06796116504854369	1	36	0	22	7	15	0	7	0	15
66.0	0.07291666666666667	3	37	3	24	8	19	2	6	1	18
67.0	0.08287292817679558	3	43	2	30	9	23	2	7	0	23
68.0	0.09770114942528736	4	26	2	22	12	12	2	10	0	12
69.0	0.1165644171779141	4	24	3	16	7	12	3	4	0	12
70.0	0.13380281690140844	3	27	2	17	8	11	2	6	0	11
71.0	0.13533834586466165	5	24	3	15	7	11	2	5	1	10
72.0	0.15079365079365079	3	22	1	13	5	9	0	5	1	8
73.0	0.16521739130434782	3	18	2	10	5	7	1	4	1	6
74.0	0.16326530612244897	5	16	2	11	5	8	2	3	0	8
75.0	0.22093023255813954	3	16	3	7	6	4	2	4	1	3
76.0	0.22666666666666666	2	10	2	5	3	4	2	1	0	4
77.0	0.2222222222222222	6	7	4	3	4	3	3	1	1	2
78.0	0.25925925925925924	1	9	0	6	1	5	0	1	0	5
79.0	0.2978723404255319	2	7	2	5	4	3	2	2	0	3
80.0	0.2631578947368421	3	7	2	6	6	2	2	4	0	2
81.0	0.35294117647058826	2	3	1	2	3	0	1	2	0	0
82.0	0.35714285714285715	2	2	0	2	0	2	0	0	0	2
83.0	0.42857142857142855	3	3	2	2	2	2	2	0	0	2
84.0	0.3888888888888889	0	3	0	2	1	1	0	1	0	1
85.0	0.3333333333333333	2	1	1	0	1	0	1	0	0	0
86.0	0.2727272727272727	0	2	0	1	1	0	0	1	0	0
87.0	0.375	0	1	0	1	1	0	0	1	0	0
88.0	0.2	1	1	1	1	2	0	1	1	0	0
