Age	Prevalence (prevalence data)	# positive labels (prevalence data)	# negative labels (prevalence data)	# positive labels	# negative labels	# positive predictions	# negative predictions	# true positives	# false positives	# false negatives	# true negatives
50.0	0.01875	0	57	0	33	0	33	0	0	0	33
51.0	0.014705882352941176	2	46	1	33	0	34	0	0	1	33
52.0	0.01568627450980392	1	54	0	39	0	39	0	0	0	39
53.0	0.024193548387096774	0	44	0	34	0	34	0	0	0	34
54.0	0.01606425702811245	1	50	1	32	0	33	0	0	1	32
55.0	0.01639344262295082	2	48	0	34	1	33	0	1	0	33
56.0	0.02	0	49	0	39	0	39	0	0	0	39
57.0	0.02510460251046025	1	49	0	30	0	30	0	0	0	30
58.0	0.022123893805309734	1	49	1	35	0	36	0	0	1	35
59.0	0.03587443946188341	2	38	2	21	0	23	0	0	2	21
60.0	0.04285714285714286	1	36	1	27	0	28	0	0	1	27
61.0	0.058823529411764705	3	43	3	27	0	30	0	0	3	27
62.0	0.06403940886699508	2	35	2	22	0	24	0	0	2	22
63.0	0.06403940886699508	4	40	2	26	1	27	0	1	2	25
64.0	0.06598984771573604	3	36	2	25	0	27	0	0	2	25
65.0	0.06796116504854369	1	36	0	22	1	21	0	1	0	21
66.0	0.07291666666666667	3	37	3	24	1	26	1	0	2	24
67.0	0.08287292817679558	3	43	2	30	1	31	0	1	2	29
68.0	0.09770114942528736	4	26	2	22	0	24	0	0	2	22
69.0	0.1165644171779141	4	24	3	16	5	14	2	3	1	13
70.0	0.13380281690140844	3	27	2	17	2	17	1	1	1	16
71.0	0.13533834586466165	5	24	3	15	4	14	2	2	1	13
72.0	0.15079365079365079	3	22	1	13	3	11	0	3	1	10
73.0	0.16521739130434782	3	18	2	10	3	9	1	2	1	8
74.0	0.16326530612244897	5	16	2	11	5	8	2	3	0	8
75.0	0.22093023255813954	3	16	3	7	7	3	3	4	0	3
76.0	0.22666666666666666	2	10	2	5	5	2	2	3	0	2
77.0	0.2222222222222222	6	7	4	3	7	0	4	3	0	0
78.0	0.25925925925925924	1	9	0	6	4	2	0	4	0	2
79.0	0.2978723404255319	2	7	2	5	6	1	2	4	0	1
80.0	0.2631578947368421	3	7	2	6	7	1	2	5	0	1
81.0	0.35294117647058826	2	3	1	2	3	0	1	2	0	0
82.0	0.35714285714285715	2	2	0	2	2	0	0	2	0	0
83.0	0.42857142857142855	3	3	2	2	4	0	2	2	0	0
84.0	0.3888888888888889	0	3	0	2	2	0	0	2	0	0
85.0	0.3333333333333333	2	1	1	0	1	0	1	0	0	0
86.0	0.2727272727272727	0	2	0	1	1	0	0	1	0	0
87.0	0.375	0	1	0	1	1	0	0	1	0	0
88.0	0.2	1	1	1	1	2	0	1	1	0	0
