seed,fold,role,n,positives,age_pairs_gap2,sites
7,0,train,489,38,1948,"{""I0006"": 81, ""S0001"": 408}"
7,0,holdout,244,15,410,"{""I0006"": 39, ""S0001"": 205}"
7,1,train,488,34,1975,"{""I0006"": 79, ""S0001"": 409}"
7,1,holdout,245,19,377,"{""I0006"": 41, ""S0001"": 204}"
7,2,train,489,34,1587,"{""I0006"": 80, ""S0001"": 409}"
7,2,holdout,244,19,569,"{""I0006"": 40, ""S0001"": 204}"
17,0,train,489,38,2004,"{""I0006"": 81, ""S0001"": 408}"
17,0,holdout,244,15,366,"{""I0006"": 39, ""S0001"": 205}"
17,1,train,488,31,1644,"{""I0006"": 79, ""S0001"": 409}"
17,1,holdout,245,22,554,"{""I0006"": 41, ""S0001"": 204}"
17,2,train,489,37,1883,"{""I0006"": 80, ""S0001"": 409}"
17,2,holdout,244,16,457,"{""I0006"": 40, ""S0001"": 204}"
29,0,train,489,43,2195,"{""I0006"": 81, ""S0001"": 408}"
29,0,holdout,244,10,264,"{""I0006"": 39, ""S0001"": 205}"
29,1,train,488,31,1634,"{""I0006"": 79, ""S0001"": 409}"
29,1,holdout,245,22,561,"{""I0006"": 41, ""S0001"": 204}"
29,2,train,489,32,1693,"{""I0006"": 80, ""S0001"": 409}"
29,2,holdout,244,21,543,"{""I0006"": 40, ""S0001"": 204}"
