comparison,seed,holdout_ac_auroc,holdout_auroc,holdout_auprc
P3_compact30-P3_demo10,7,0.006550773222416262,-0.010785262353368963,0.021362755788425225
P3_compact30-P3_demo10,17,-0.024521423914211637,-0.012739459918039153,0.0036989419836841453
P3_compact30-P3_demo10,29,0.0592798311355347,0.011950630336280632,0.04588195570815856
P3_compact35-P3_compact30,7,-0.0053050397877985045,-0.0036290892112866846,-0.007423392189957911
P3_compact35-P3_compact30,17,-0.008423586040914532,-0.0019024323957059774,-0.0012017073731376282
P3_compact35-P3_compact30,29,-0.009956979610863281,-0.003148620188979101,-0.004735203228244944
P3_global59-P3_compact35,7,-0.0012284736926702067,-0.0009259684874485252,-0.015979753634644073
P3_global59-P3_compact35,17,0.02168454281307175,0.004311832159088147,0.0031259692404563277
P3_global59-P3_compact35,29,0.03143516740364316,0.005291021882950275,-0.05228572101338752
P3_stage155-P3_global59,7,-0.08445983090683112,-0.027610711371783614,-0.01776357116991109
P3_stage155-P3_global59,17,-0.07685597586935716,-0.026116460908424677,-0.03984155382618365
P3_stage155-P3_global59,29,-0.12818877760379221,-0.050927804963679435,-0.028774969165911796
