outer_seed,outer_fold,checkpoint,best_epoch,stop_epoch,holdout_n,holdout_positives,holdout_negatives,eligible_age_pairs_gap2,holdout_ac_auroc,holdout_auroc,holdout_auprc,train_ac_auroc,train_auroc,train_auprc,val_ac_auroc,val_auroc
7,0,best_val_ac,12,27,244,15,229,410,0.7951219512195122,0.8229985443959243,0.21744573907619857,0.9235112936344969,0.936865445209476,0.5048839279255029,0.6767241379310345,0.6598173515981736
7,0,fixed_epoch6,12,27,244,15,229,410,0.8170731707317073,0.8104803493449781,0.35308479354741057,0.752053388090349,0.8195238650951102,0.2730988771775058,0.521551724137931,0.5690639269406392
7,1,best_val_ac,4,19,245,19,226,377,0.6790450928381963,0.6658127619934793,0.23478796736602264,0.8744303797468355,0.8756802280383519,0.39727372171671255,0.6336206896551724,0.6232876712328768
7,1,fixed_epoch6,4,19,245,19,226,377,0.6206896551724138,0.6516068933395436,0.2248474627859263,0.920506329113924,0.9205752785695775,0.5000864507531299,0.4698275862068966,0.5416666666666666
7,2,best_val_ac,2,17,244,19,225,569,0.7311072056239016,0.7181286549707602,0.1662264940855948,0.6389413988657845,0.6929541047188106,0.26379795212725105,0.7198275862068966,0.7100456621004565
7,2,fixed_epoch6,2,17,244,19,225,569,0.6625659050966608,0.6914619883040936,0.1542097261893097,0.8412098298676749,0.8615384615384615,0.3717944633160445,0.603448275862069,0.6718036529680366
17,0,best_val_ac,3,18,244,15,229,366,0.726775956284153,0.7443959243085881,0.23094302502145636,0.812874251497006,0.8329443342280313,0.2889209863832947,0.7629310344827587,0.7128995433789954
17,0,fixed_epoch6,3,18,244,15,229,366,0.7513661202185792,0.7630276564774381,0.2027173685638995,0.8512974051896207,0.8671957054498776,0.29459399325764657,0.7155172413793104,0.6866438356164384
17,1,best_val_ac,4,19,245,22,223,554,0.6877256317689531,0.6551161842641663,0.19543863542005496,0.8753041362530414,0.8879791063739676,0.37337834646264917,0.6939655172413793,0.7853881278538813
17,1,fixed_epoch6,4,19,245,22,223,554,0.5523465703971119,0.5354667753770892,0.1032752103210368,0.791970802919708,0.8262158537446178,0.3291614045874973,0.5818965517241379,0.644406392694064
17,2,best_val_ac,23,38,244,16,228,457,0.6455142231947484,0.709703947368421,0.14933034450533056,0.9936271906532129,0.9944989237024635,0.9296032440296023,0.7413793103448276,0.7311643835616438
17,2,fixed_epoch6,23,38,244,16,228,457,0.6849015317286652,0.6946271929824562,0.1459486073540831,0.7838555496548062,0.8127242286534323,0.3676479043965525,0.5129310344827587,0.5650684931506849
29,0,best_val_ac,10,25,244,10,234,264,0.5890151515151515,0.635042735042735,0.09788290046611468,0.8774487471526196,0.88424236103869,0.4096830725013324,0.6853448275862069,0.723744292237443
29,0,fixed_epoch6,10,25,244,10,234,264,0.6401515151515151,0.6384615384615385,0.08481189994862391,0.8054669703872437,0.8317342788611951,0.34792690745618193,0.6120689655172413,0.6837899543378996
29,1,best_val_ac,9,24,245,22,223,561,0.7647058823529411,0.7622299225438238,0.2202024416238609,0.9118727050183598,0.9218606621020682,0.43842185305088527,0.7844827586206896,0.7808219178082192
29,1,fixed_epoch6,9,24,245,22,223,561,0.7112299465240641,0.7052588666938443,0.1729750312497042,0.8733170134638923,0.8760499752946989,0.3347337303983253,0.7586206896551724,0.7557077625570776
29,2,best_val_ac,13,28,244,21,223,543,0.6887661141804788,0.7535767670296818,0.20629481166399755,0.9716479621972829,0.974972647702407,0.7175148271852985,0.5732758620689655,0.574771689497717
29,2,fixed_epoch6,13,28,244,21,223,543,0.7016574585635359,0.7458893871449925,0.18755890603256603,0.9037212049616066,0.9148659737417943,0.4987802985779889,0.4870689655172414,0.517123287671233
