model,holdout_site,train_n,train_positives,train_negatives,train_eligible_ac_pairs,train_ac_auroc,train_age_weighted_auroc,train_auroc,train_auprc,train_diagnostic_threshold,train_diagnostic_accuracy,train_diagnostic_f1,holdout_n,holdout_positives,holdout_negatives,holdout_eligible_ac_pairs,holdout_ac_auroc,holdout_age_weighted_auroc,holdout_auroc,holdout_auprc,holdout_diagnostic_threshold,holdout_diagnostic_accuracy,holdout_diagnostic_f1,train_ac_minus_holdout_ac
L0_demo10,I0002,1049,76,973,8636,0.5566234367762853,0.5856530572247555,0.7765051117001136,0.24124247214294361,decision_score>=0 (uncalibrated p>=0.5),0.7092469018112488,0.26150121065375304,54,8,46,48,0.5416666666666666,0.5568558508674788,0.7065217391304348,0.27759304871373836,decision_score>=0 (uncalibrated p>=0.5),0.6481481481481481,0.3870967741935484,0.014956770109618711
L1_compact30,I0002,1049,76,973,8636,0.6888605836035201,0.7059881126958147,0.8164656244928868,0.31713403693517095,decision_score>=0 (uncalibrated p>=0.5),0.7387988560533841,0.2864583333333333,54,8,46,48,0.5833333333333334,0.6069878183831672,0.736413043478261,0.2915374947633012,decision_score>=0 (uncalibrated p>=0.5),0.6851851851851852,0.41379310344827586,0.10552725027018672
L2_global59,I0002,1049,76,973,8636,0.7512737378415933,0.7911889268865059,0.8423081084004977,0.33520131162339806,decision_score>=0 (uncalibrated p>=0.5),0.7588179218303146,0.30684931506849317,54,8,46,48,0.6458333333333334,0.6501402731635288,0.7635869565217391,0.3244577370304115,decision_score>=0 (uncalibrated p>=0.5),0.7222222222222222,0.4444444444444444,0.10544040450825998
L3_legacy_lstm,I0002,1049,76,973,8636,0.8419407132931913,0.8619399258820688,0.867163412127441,0.3403657499779797,decision_score>=0 (uncalibrated p>=0.5),0.09151572926596759,0.13755656108597286,54,8,46,48,0.6458333333333334,0.6528811369509044,0.7717391304347827,0.33275397609636737,decision_score>=0 (uncalibrated p>=0.5),0.16666666666666666,0.26229508196721313,0.19610737995985794
L0_demo10,I0006,911,64,847,6249,0.5802528404544727,0.5895863633694469,0.7877066115702479,0.24332033805787603,decision_score>=0 (uncalibrated p>=0.5),0.7277716794731065,0.27485380116959063,192,20,172,441,0.3820861678004535,0.4110319749441215,0.6463662790697674,0.23678416891368595,decision_score>=0 (uncalibrated p>=0.5),0.5885416666666666,0.24761904761904763,0.19816667265401916
L1_compact30,I0006,911,64,847,6249,0.6895503280524884,0.7149575584364012,0.8114853896103896,0.31560667290138145,decision_score>=0 (uncalibrated p>=0.5),0.7453347969264544,0.2883435582822086,192,20,172,441,0.5328798185941043,0.5426639592228557,0.7034883720930233,0.281045367599283,decision_score>=0 (uncalibrated p>=0.5),0.5260416666666666,0.24793388429752067,0.15667050945838412
L2_global59,I0006,911,64,847,6249,0.7469995199231877,0.783718564949195,0.8431412337662337,0.34218582919552,decision_score>=0 (uncalibrated p>=0.5),0.7607025246981339,0.3057324840764331,192,20,172,441,0.4943310657596372,0.4993825837774668,0.6976744186046512,0.2977572029354064,decision_score>=0 (uncalibrated p>=0.5),0.53125,0.25,0.2526684541635505
L3_legacy_lstm,I0006,911,64,847,6249,0.8999839974395903,0.9133284965887885,0.911323051948052,0.4709266304435483,decision_score>=0 (uncalibrated p>=0.5),0.2239297475301866,0.1532934131736527,192,20,172,441,0.47392290249433106,0.4488705584848103,0.5581395348837209,0.18541434304574383,decision_score>=0 (uncalibrated p>=0.5),0.16666666666666666,0.17525773195876287,0.4260610949452593
L0_demo10,S0001,246,28,218,791,0.6479140328697851,0.6597411154932,0.7841579292267367,0.30530218014307015,decision_score>=0 (uncalibrated p>=0.5),0.7073170731707317,0.35714285714285715,857,56,801,5124,0.5128805620608899,0.5495258322609189,0.7679017299803816,0.1844916268452607,decision_score>=0 (uncalibrated p>=0.5),0.7129521586931156,0.2360248447204969,0.13503347080889516
L1_compact30,S0001,246,28,218,791,0.8571428571428571,0.8642612371808218,0.875,0.44287450088768693,decision_score>=0 (uncalibrated p>=0.5),0.7886178861788617,0.48,857,56,801,5124,0.5218579234972678,0.5932124225751167,0.7521178883538434,0.20787631427978884,decision_score>=0 (uncalibrated p>=0.5),0.8004667444574096,0.2191780821917808,0.3352849336455893
L2_global59,S0001,246,28,218,791,0.865992414664981,0.8806007362018384,0.8854849279161207,0.47202849046734835,decision_score>=0 (uncalibrated p>=0.5),0.7723577235772358,0.45098039215686275,857,56,801,5124,0.49063231850117095,0.5590255030786284,0.7394997324772605,0.2039332068548182,decision_score>=0 (uncalibrated p>=0.5),0.8051341890315052,0.215962441314554,0.37536009616381005
L3_legacy_lstm,S0001,246,28,218,791,0.7774968394437421,0.7656886385310385,0.8032437745740497,0.3494887755799532,decision_score>=0 (uncalibrated p>=0.5),0.3780487804878049,0.2608695652173913,857,56,801,5124,0.5046838407494145,0.5173645502945313,0.5712279293739967,0.09894532200196363,decision_score>=0 (uncalibrated p>=0.5),0.25670945157526254,0.13096862210095497,0.2728129986943276
