feature_family,feature_dimension,fold,balanced_accuracy,macro_f1,macro_ovr_auroc,train_n,holdout_n,converged,n_iter
demo10,10,0,0.5521340258182365,0.5327948704323644,0.7581780822266652,882,221,True,15
demo10,10,1,0.6334520232929045,0.569410656981995,0.7659201442590291,882,221,True,14
demo10,10,2,0.563972033678276,0.5409196636249777,0.7490080721283728,882,221,True,17
demo10,10,3,0.67685628211944,0.6038211788211788,0.8561198333071197,883,220,True,14
demo10,10,4,0.5597990703253861,0.5463534507892874,0.7874975908899806,883,220,True,15
compact30,30,0,0.7075341812183917,0.607488991984512,0.8628650821363372,882,221,True,54
compact30,30,1,0.660899076443752,0.5713909666657978,0.8437810277377267,882,221,True,54
compact30,30,2,0.6159081636437818,0.5595735027223231,0.8254649170933401,882,221,True,65
compact30,30,3,0.6329080276448696,0.5741866605538859,0.8373702953333849,883,220,True,52
compact30,30,4,0.6767881241565452,0.5856821387091422,0.8428755974421241,883,220,True,57
static196,196,0,0.6245586771902562,0.6092918315140537,0.8458865441051676,882,221,True,84
static196,196,1,0.6848596120321947,0.6468851410027882,0.8693561366682886,882,221,True,104
static196,196,2,0.6798523793627833,0.6460301475407215,0.8511872679373016,882,221,True,125
static196,196,3,0.5770866560340244,0.5817635817635818,0.7877961510907512,883,220,True,92
static196,196,4,0.7547608337082021,0.7217643467643468,0.8786847529850063,883,220,True,105
eeg_spectral54,108,0,0.6383674804727436,0.5804017864307714,0.8266269852504671,882,221,True,139
eeg_spectral54,108,1,0.5777511961722488,0.5426197375297098,0.8319946089599445,882,221,True,138
eeg_spectral54,108,2,0.5248970735506844,0.5142758857929136,0.7578689707171415,882,221,True,133
eeg_spectral54,108,3,0.618288144603934,0.5378059476030778,0.7904701624797319,883,220,True,134
eeg_spectral54,108,4,0.7159694107062528,0.5845795642447232,0.8694947832076565,883,220,True,142
coherence360,720,0,0.6463146989462779,0.6205252602988561,0.7900503035725707,882,221,True,300
coherence360,720,1,0.6145729015986053,0.5885826591708945,0.8423548281311732,882,221,True,251
coherence360,720,2,0.6651644968658431,0.6517419257242266,0.8244466655173417,882,221,True,278
coherence360,720,3,0.5596314017366649,0.5610176472451922,0.7631809976307583,883,220,True,273
coherence360,720,4,0.5832358674463938,0.576940576940577,0.8155336654834017,883,220,True,288
bsr18,36,0,0.42033015717226246,0.4342868039664378,0.5585747885343028,882,221,True,77
bsr18,36,1,0.4437149957345796,0.48134038800705464,0.5753121821127807,882,221,True,58
bsr18,36,2,0.40076406661473984,0.41821396993810783,0.5542268597524446,882,221,True,54
bsr18,36,3,0.4300017721070353,0.46454465075154733,0.5323099914692533,883,220,True,72
bsr18,36,4,0.42604588394062076,0.44597933513027854,0.5677297316781388,883,220,True,55
emg24,48,0,0.7343884185989449,0.6281050469157736,0.8665805659327926,882,221,True,68
emg24,48,1,0.6041689848299395,0.5252257502553593,0.8546949342219063,882,221,True,72
emg24,48,2,0.629678053484663,0.5468797564687975,0.83376632021586,882,221,True,68
emg24,48,3,0.6299840510366826,0.5436447159702924,0.8329753143492037,883,220,True,76
emg24,48,4,0.7253111411006148,0.6104273504273504,0.8816168592881093,883,220,True,73
respiration14,28,0,0.7594705489442332,0.5650205308275861,0.9027489409675645,882,221,True,52
respiration14,28,1,0.6726382552575942,0.5699042407660738,0.8338448663194478,882,221,True,53
respiration14,28,2,0.6720448054597382,0.5192446476768448,0.8248000408770233,882,221,True,51
respiration14,28,3,0.6691476165160376,0.5500471634012006,0.8391071031194066,883,220,True,69
respiration14,28,4,0.7023241865347128,0.5628513164880613,0.8884615737970117,883,220,True,53
stage_event13,13,0,0.6592647118962909,0.5252656362672783,0.8213594143148799,882,221,True,18
stage_event13,13,1,0.6220466599903564,0.512026802349383,0.8100559925956432,882,221,True,15
stage_event13,13,2,0.6817347279403583,0.5272388836821826,0.8030527120970538,882,221,True,13
stage_event13,13,3,0.5315435052277158,0.4709685086155675,0.7360674185691273,883,220,True,21
stage_event13,13,4,0.600509821562453,0.48344541914993355,0.8023075841033719,883,220,True,14
ecg12,24,0,0.3879551247972301,0.3459910637088632,0.5751319455772896,882,221,True,83
ecg12,24,1,0.3605763881161678,0.3476001511715798,0.541725097203815,882,221,True,79
ecg12,24,2,0.3873187196320611,0.32828994832797115,0.5525508978689203,882,221,True,75
ecg12,24,3,0.4077618288144604,0.34729771225983486,0.5815589691187776,883,220,True,85
ecg12,24,4,0.3698605488079172,0.34189754679044054,0.5679419372573529,883,220,True,78
global59,59,0,0.6989871726713832,0.6043262302397202,0.8666600845548214,882,221,True,83
global59,59,1,0.7302770668743741,0.596742276566838,0.8424155575458824,882,221,True,97
global59,59,2,0.6578391009235562,0.5874992564113001,0.8665293236491056,882,221,True,85
global59,59,3,0.6446039340776183,0.6043800571138332,0.8152547118712533,883,220,True,89
global59,59,4,0.6877342929974509,0.5988923972811598,0.8607760643792712,883,220,True,91
