outer_seed,fold,site_id,n,positives,negatives,eligible_same_site_pairs,eligible_cross_site_pairs_involving_site,eligible_same_site_pairs_total,eligible_cross_site_pairs_total
7,0,I0002,0,0,0,0,0,208,202
7,0,I0006,39,7,32,30,202,208,202
7,0,S0001,205,8,197,178,202,208,202
7,1,I0002,0,0,0,0,0,274,103
7,1,I0006,41,3,38,7,103,274,103
7,1,S0001,204,16,188,267,103,274,103
7,2,I0002,0,0,0,0,0,422,147
7,2,I0006,40,3,37,10,147,422,147
7,2,S0001,204,16,188,412,147,422,147
17,0,I0002,0,0,0,0,0,248,118
17,0,I0006,39,3,36,12,118,248,118
17,0,S0001,205,12,193,236,118,248,118
17,1,I0002,0,0,0,0,0,361,193
17,1,I0006,41,5,36,24,193,361,193
17,1,S0001,204,17,187,337,193,361,193
17,2,I0002,0,0,0,0,0,316,141
17,2,I0006,40,5,35,11,141,316,141
17,2,S0001,204,11,193,305,141,316,141
29,0,I0002,0,0,0,0,0,192,72
29,0,I0006,39,1,38,7,72,192,72
29,0,S0001,205,9,196,185,72,192,72
29,1,I0002,0,0,0,0,0,397,164
29,1,I0006,41,7,34,22,164,397,164
29,1,S0001,204,15,189,375,164,397,164
29,2,I0002,0,0,0,0,0,342,201
29,2,I0006,40,5,35,26,201,342,201
29,2,S0001,204,16,188,316,201,342,201
