model,outer_seed,fold,condition,ac_auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,auroc,auroc_pairs,source_file
p3_demo10,7,0,overall,0.524390243902439,410,15,229,15,150,0.7816593886462883,3435,output/p3_v2/cv/seed7/fold0/P3_demo10_holdout.csv
p3_demo10,7,0,same_site,0.5865384615384616,208,15,229,14,131,0.7933333333333333,1800,output/p3_v2/cv/seed7/fold0/P3_demo10_holdout.csv
p3_demo10,7,0,cross_site,0.4603960396039604,202,15,229,14,110,0.7688073394495413,1635,output/p3_v2/cv/seed7/fold0/P3_demo10_holdout.csv
p3_demo10,7,0,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold0/P3_demo10_holdout.csv
p3_demo10,7,0,site_I0006,0.5666666666666667,30,7,32,6,15,0.7991071428571429,224,output/p3_v2/cv/seed7/fold0/P3_demo10_holdout.csv
p3_demo10,7,0,site_S0001,0.5898876404494382,178,8,197,8,116,0.7925126903553299,1576,output/p3_v2/cv/seed7/fold0/P3_demo10_holdout.csv
p3_compact30,7,0,overall,0.5024390243902439,410,15,229,15,150,0.758660844250364,3435,output/p3_v2/cv/seed7/fold0/P3_compact30_holdout.csv
p3_compact30,7,0,same_site,0.40865384615384615,208,15,229,14,131,0.7166666666666667,1800,output/p3_v2/cv/seed7/fold0/P3_compact30_holdout.csv
p3_compact30,7,0,cross_site,0.599009900990099,202,15,229,14,110,0.8048929663608563,1635,output/p3_v2/cv/seed7/fold0/P3_compact30_holdout.csv
p3_compact30,7,0,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold0/P3_compact30_holdout.csv
p3_compact30,7,0,site_I0006,0.6,30,7,32,6,15,0.7946428571428571,224,output/p3_v2/cv/seed7/fold0/P3_compact30_holdout.csv
p3_compact30,7,0,site_S0001,0.37640449438202245,178,8,197,8,116,0.7055837563451777,1576,output/p3_v2/cv/seed7/fold0/P3_compact30_holdout.csv
p3_compact35,7,0,overall,0.5024390243902439,410,15,229,15,150,0.7589519650655022,3435,output/p3_v2/cv/seed7/fold0/P3_compact35_holdout.csv
p3_compact35,7,0,same_site,0.40865384615384615,208,15,229,14,131,0.7172222222222222,1800,output/p3_v2/cv/seed7/fold0/P3_compact35_holdout.csv
p3_compact35,7,0,cross_site,0.599009900990099,202,15,229,14,110,0.8048929663608563,1635,output/p3_v2/cv/seed7/fold0/P3_compact35_holdout.csv
p3_compact35,7,0,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold0/P3_compact35_holdout.csv
p3_compact35,7,0,site_I0006,0.6,30,7,32,6,15,0.7946428571428571,224,output/p3_v2/cv/seed7/fold0/P3_compact35_holdout.csv
p3_compact35,7,0,site_S0001,0.37640449438202245,178,8,197,8,116,0.7062182741116751,1576,output/p3_v2/cv/seed7/fold0/P3_compact35_holdout.csv
p3_global59,7,0,overall,0.5317073170731708,410,15,229,15,150,0.7656477438136827,3435,output/p3_v2/cv/seed7/fold0/P3_global59_holdout.csv
p3_global59,7,0,same_site,0.3894230769230769,208,15,229,14,131,0.715,1800,output/p3_v2/cv/seed7/fold0/P3_global59_holdout.csv
p3_global59,7,0,cross_site,0.6782178217821783,202,15,229,14,110,0.8214067278287461,1635,output/p3_v2/cv/seed7/fold0/P3_global59_holdout.csv
p3_global59,7,0,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold0/P3_global59_holdout.csv
p3_global59,7,0,site_I0006,0.6,30,7,32,6,15,0.7991071428571429,224,output/p3_v2/cv/seed7/fold0/P3_global59_holdout.csv
p3_global59,7,0,site_S0001,0.3539325842696629,178,8,197,8,116,0.7030456852791879,1576,output/p3_v2/cv/seed7/fold0/P3_global59_holdout.csv
