seed,split,best_epoch,validation_auroc,threshold,reward,age_conditioned_auroc,age_weighted_auroc,auroc,auprc,accuracy,f_measure
1,test,3,0.7391552511415526,0.06335867250163878,0.277,0.836,0.833,0.812,0.377,0.582,0.214
1,external,3,0.7391552511415526,0.06335867250163878,1.425,0.667,0.63,0.742,0.353,0.648,0.424
7,test,7,0.7080479452054794,0.07104830421758436,0.404,0.842,0.848,0.837,0.358,0.703,0.277
7,external,7,0.7080479452054794,0.07104830421758436,1.343,0.719,0.678,0.773,0.418,0.759,0.48
42,test,1,0.7928082191780822,0.11827101532828285,0.356,0.57,0.643,0.627,0.174,0.81,0.25
42,external,1,0.7928082191780822,0.11827101532828285,-0.146,0.458,0.481,0.514,0.167,0.722,0.118
2026,test,11,0.7157534246575342,0.0626659854856451,0.355,0.803,0.795,0.765,0.204,0.658,0.25
2026,external,11,0.7157534246575342,0.0626659854856451,1.552,0.771,0.715,0.802,0.366,0.759,0.519
3407,test,6,0.7265981735159818,0.05985618720231912,0.21,0.818,0.804,0.796,0.308,0.525,0.194
3407,external,6,0.7265981735159818,0.05985618720231912,1.322,0.667,0.633,0.69,0.286,0.556,0.368
